,respondent,variant,age,gender,education,income,web,stores,time,clickability,hotspotOptions,hotspotHelp,spamClicks,note,att1,att2,umux,spamCount,helpOccurences
15,23,interactive,18 - 27,Woman,High school diploma,"£10,000 - £19,999",For a significant part of the day,Several times a week,6.57,Yes,,,,No,Salad,30,95.83,,
16,26,interactive,28 - 37,Man,Technical/community college,"£0 - £9,999",For a significant part of the day,Several times a week,9.08,Yes,,,,I think I covered everything in my previous messages. It seems like extra steps are being added for no reason,Salad,30,41.67,,
17,27,interactive,28 - 37,Man,Technical/community college,"£30,000 - £39,999",For a significant part of the day,Daily,12.27,Yes everything worked well,,,,"When i looked at my orders, i expected that when i clicked on the t-shirt a new page would appear giving my information about that order, and that is where i expected to be able to return it",Salad,30,83.33,,
19,34,interactive,28 - 37,Woman,Undergraduate degree,"£30,000 - £39,999",For a significant part of the day,Daily,5.35,Yes,,,,Did not answer,Salad,30,70.83,,
21,37,interactive,28 - 37,Woman,Technical/community college,"£20,000 - £29,999",Few times a day,Once a week,8.47,Yes it did,,,,Did not answer,Salad,30,87.5,,
22,38,interactive,38 - 47,Woman,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Once a week,11.45,Yes it did,,,,Did not answer,Salad,30,58.33,,
23,40,interactive,38 - 47,Man,Graduate degree,"£40,000 - £49,999",Few times a day,Several times a week,9.0,No - certain links were not active which restricted how i used the site,,,,Did not answer,Salad,30,33.33,,
24,41,interactive,48 - 57,Woman,Technical/community college,"£0 - £9,999",For a significant part of the day,Daily,11.7,I could click on everything I expected to be clickable but it still didn't help me complete the tasks,,,,Did not answer,Salad,30,33.33,,
25,43,interactive,38 - 47,Woman,Graduate degree,"£30,000 - £39,999",For a significant part of the day,Once a week,5.02,"Yes, it did",,,,Did not answer,Salad,30,87.5,,
26,44,interactive,48 - 57,Man,Graduate degree,"£75,000 - £100,000",For a significant part of the day,Several times a week,7.48,"Not totally, I expected things like shipping to be clickable down the bottom.",,,,No.,Salad,30,58.33,,
28,53,interactive,38 - 47,Man,High school diploma,"£40,000 - £49,999",For a significant part of the day,Several times a week,4.53,no. The return policy is not clickable,,,,Did not answer,Salad,30,33.33,,
29,54,interactive,28 - 37,Woman,Undergraduate degree,"£40,000 - £49,999",For a significant part of the day,Several times a week,8.73,I think I would've wanted to click on the returns link in the footer to start the returns process - it didn't click with me to log in first. ,,,,"I found the return process to be a bit clumsy, I don't like how I had to copy and paste the order number in. The ecom experiences I've had allowed me to select from recent orders instead",Salad,30,50.0,,
30,55,interactive,48 - 57,Woman,Doctoral degree,No income,Few times a day,Once a week,6.85,"I was unable to click 'return policy' links, or to proceed to checkout without logging in, which I didn't think would be necessary for the study.",,,,Did not answer,Salad,30,54.17,,
31,56,interactive,38 - 47,Man,High school diploma,"£50,000 - £74,999",For a significant part of the day,Several times a week,8.97,The only issue I had was the shopping cart icon in my wish list page. I am not sure if that actually added the item to my cart as it wasn't clear with the response.,,,,This UXtweak site is pretty awesome. I may look at using it myself :),Salad,30,58.33,,
33,63,interactive,28 - 37,Woman,Graduate degree,"£30,000 - £39,999",Few times a day,Once a week,11.57,"No. I wanted to check the Returns Policy to see how to do the return, and I couldn't. ",,,,"Overall, not the best shopping online experience. ",Salad,30,33.33,,
34,67,interactive,28 - 37,Woman,Undergraduate degree,"£40,000 - £49,999",For a significant part of the day,Several times a week,7.08,"I noticed that not everything is clickable, but all the needed options were working fine",,,,Did not answer,Salad,30,87.5,,
35,68,interactive,28 - 37,Man,Undergraduate degree,"£30,000 - £39,999",For a significant part of the day,Daily,6.9,I had to create an account prior to purchasing an item which was not ideal.,,,,,Salad,30,45.83,,
36,70,interactive,38 - 47,Man,Undergraduate degree,"£30,000 - £39,999",Few times a day,Daily,8.3,some options were not clicable i.e. buy on the item page,,,,Did not answer,Salad,30,45.83,,
37,75,interactive,28 - 37,Man,Secondary education,"£20,000 - £29,999",For a significant part of the day,Several times a month,6.87,Yes everything i needed to click was clickable.,,,,Did not answer,Salad,30,95.83,,
38,77,interactive,38 - 47,Woman,Graduate degree,"£0 - £9,999",For a significant part of the day,Daily,14.77,"No, I wasnted to search more and also no filters as it supposed to have.",,,,There is a lot of work still needed for this website/prototype. If it was real life scenario I would have switch off my browser and not buy from this store. Very frustrating experience.,Salad,30,16.67,,
39,78,interactive,48 - 57,Man,Graduate degree,"£50,000 - £74,999",For a significant part of the day,Several times a week,8.4,I was not able to click the returns information at the bottom of the web page. ,,,,no further comments,Salad,30,58.33,,
41,82,interactive,28 - 37,Man,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a week,7.92,no,,,,I didn't know if I was clicking the buy button or not as there was no feedback,Salad,30,83.33,,
43,87,interactive,28 - 37,Woman,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Daily,11.32,"Yes, and things that weren't had ways around it when time was spent exploring",,,,Did not answer,Salad,30,16.67,,
45,89,interactive,28 - 37,Man,Secondary education,"£20,000 - £29,999",Few times a day,Several times a week,8.12,"No, i couldn't click the returns policy area",,,,,Salad,30,29.17,,
46,90,interactive,38 - 47,Woman,Graduate degree,"£20,000 - £29,999",Few times a day,Several times a week,7.63,"i wanted to click ""returns policy"" at the bottom but it did not allow me",,,,Did not answer,Salad,30,70.83,,
48,94,interactive,58+,Man,Undergraduate degree,No income,For a significant part of the day,Several times a week,15.62,Pretty much... in that it is a prototype.,,,,nope,Salad,30,16.67,,
49,95,interactive,58+,Woman,Doctoral degree,"£20,000 - £29,999",Few times a day,Once a week,7.52,just not the Buy option on 1 occasion,,,,worked well,Salad,30,95.83,,
50,2,non-interactive,18 - 27,Man,Undergraduate degree,"£0 - £9,999",For a significant part of the day,Several times a week,8.68,"Some options weren't clickable, like the returns policy, or any of the options at the bottom.","noticed, helped","2:50, 3:20, 4:45, 6:42",2:50,Did not answer,Salad,30,70.83,1.0,4.0
51,3,non-interactive,18 - 27,Man,Graduate degree,"£30,000 - £39,999",Few times a day,Once a week,8.8,"From the 2nd task, the cart button was not functional. Apart from this, everything worked as expected",noticed,"1:40, 1:55, 3:15, 3:30, 5:30",,I appreciate the simple and elegant UX design,Salad,30,83.33,0.0,5.0
52,4,non-interactive,18 - 27,Man,Undergraduate degree,"£20,000 - £29,999",Few times a day,Several times a week,5.85,"Yes, but it didn't let me click anything outside of the task.","noticed, helped","1:10, 1:25, 1:30, 3:05. 4:15, 4:20","1:25, 3:05",Did not answer,Salad,30,29.17,2.0,5.0
53,5,non-interactive,18 - 27,Man,Graduate degree,"£10,000 - £19,999",Few times a day,Every few months,7.5,"No but I understand it was a prototype, hence the neutral scores above","noticed, helped",3:30,"2:10, 3:30",Did not answer,Salad,30,58.33,2.0,1.0
54,6,non-interactive,18 - 27,Man,Undergraduate degree,"£40,000 - £49,999",For a significant part of the day,Several times a week,8.37,No - I couldn't sort by price.,noticed,"1:25, 5:55","1:25, 3:05","No, thanks",Salad,30,62.5,2.0,2.0
55,7,non-interactive,18 - 27,Man,High school diploma,"£10,000 - £19,999",For a significant part of the day,Several times a week,9.45,Yes I believe ,"noticed, helped, used","2:45, 2:50, 4:40, 6:10, 6:25, 6:50 ",3:50,Did not answer,Salad,30,41.67,1.0,6.0
57,10,non-interactive,18 - 27,Man,Technical/community college,"£30,000 - £39,999",For a significant part of the day,Daily,5.13,no issues really,"noticed, helped","1:15, 1:20, 2:25, 2:40, 4:10",,Did not answer,Salad,30,83.33,0.0,5.0
58,14,non-interactive,18 - 27,Woman,High school diploma,"£10,000 - £19,999",Few times a day,Several times a week,9.38,"At times it did now allow me to click on the basket or on something i thought i needed to click, but it did after pressing another button i needed to do first","noticed, helped","2:10, 2:45, 4:15, 5:55, 6:20","2:20, 2:45, 3:50",Did not answer,Salad,30,54.17,3.0,5.0
59,15,non-interactive,18 - 27,Woman,High school diploma,"£30,000 - £39,999",Few times a day,Several times a week,8.43,no e.g. filter button to sort ,"noticed, helped","2:20, 3:50, 4:15, 4:25, 4:35, 4:40, 5:55, 6:00. 6:05, 6:10",,Did not answer,Salad,30,79.17,0.0,9.0
61,18,non-interactive,18 - 27,Woman,Undergraduate degree,"£0 - £9,999",For a significant part of the day,Once a week,8.25,"I think everything was pretty much clickable, sometimes I was used to clicking something else but quickly figured out where I should go next. ","noticed, distracted","2:00, 3:25, 3:35, 4:55",,N/A.,Salad,30,91.67,0.0,4.0
62,19,non-interactive,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",Few times a day,Several times a week,4.88,no - wouldnt let me click on my basket or click on the returns policy,noticed,"1:20, 1:40, 1:45",2:30,Did not answer,Salad,30,25.0,1.0,3.0
63,20,non-interactive,18 - 27,Woman,Technical/community college,"£0 - £9,999",Few times a day,Several times a week,13.95,"No, some features such as 'sort by' could not be used",noticed,"3:00, 4:45, 5:15, 5:25, 7:25",4:25,Did not answer,Salad,30,79.17,1.0,5.0
64,21,non-interactive,18 - 27,Woman,Undergraduate degree,"£30,000 - £39,999",For a significant part of the day,Several times a week,7.12,"No, it only let me click things related to the tasks and not everything else","noticed, helped","0:55, 1:00, 1:15, 1:20, 2:00, 2:15, 2:20, 3:25, 3:30",,There seemed to be other ways to complete the task but I was only allowed to click specific areas as highlighted by the blue flash,Salad,30,37.5,0.0,9.0
65,24,non-interactive,18 - 27,Woman,Undergraduate degree,"£30,000 - £39,999",Few times a day,Several times a week,5.27,Some things I was not able to click but I still managed to find what I needed quickly,"noticed, helped","1:10, 1:20, 2:55, 3:05, 3:10",1:25,Nothing else,Salad,30,91.67,1.0,5.0
66,26,non-interactive,28 - 37,Man,Graduate degree,"More than £100,000",For a significant part of the day,Several times a week,8.43,No - i couldn't click orders when doing a return. I couldn't click to add to wishlist on the first item - i think because i didn't select the colour even though i thought i was on the black t-shirt page.,"noticed, helped, used","1:35, 1:50, 4:05, 5:30, 5:45, 5:50","2:10, 3:20, 3:50",Did not answer,Salad,30,4.17,3.0,6.0
67,27,non-interactive,28 - 37,Man,Graduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a month,4.55,"No, only highlighted options","noticed, helped","0:55, 1:25, 2:05, 2:10, 3:05, 3:10, 3:10, 3:25","1:20, 2:10, 3:15",Did not answer,Salad,30,50.0,3.0,8.0
68,28,non-interactive,28 - 37,Woman,Secondary education,"£0 - £9,999",Few times a day,Several times a week,9.3,Yes-anything I tried to click on that didn't work was my error. ,"noticed, helped","2:45, 4:20, 4:30, 6:30",,Did not answer,Salad,30,83.33,0.0,4.0
69,30,non-interactive,38 - 47,Man,Graduate degree,"£75,000 - £100,000",Few times a day,Several times a week,8.58,yes I could click everything I needed to.,none-above,"4:15, 4:20, 6:35","2:50, 2:55",Did not answer,Salad,30,58.33,2.0,3.0
70,31,non-interactive,38 - 47,Woman,Undergraduate degree,"More than £100,000",Few times a day,Several times a week,10.82,"No, on the second task I couldn't select the basket or my user name to check out.","noticed, helped, distracted","1:35, 2:20, 3:25, 6:35, 6:40, 6:50, 7:00",,Did not answer,Salad,30,20.83,0.0,7.0
71,33,non-interactive,48 - 57,Woman,Technical/community college,"£30,000 - £39,999",Few times a day,Daily,7.72,No - the links at the bottom (for example the returns policy) did not work at all.,none-above,"1:20, 2:20, 5:05",3:20,Did not answer,Salad,30,12.5,1.0,3.0
72,34,non-interactive,28 - 37,Woman,Undergraduate degree,"£30,000 - £39,999",For a significant part of the day,Several times a week,9.28,"Not always no, when finding the cheapest tshirt I went staight to the click the 'popularity' filter to change it from low to high cost. When returning my product, I didn't naturally log in, I went to the bottom of the page to click returns, and that wasn't clickable. ","noticed, helped, used","1:10, 1:25, 1:40, 3:50, 3:55, 5:40, 6:05",5:45,I'd have struggled without the blue flashes in these tasks. ,Salad,30,54.17,1.0,7.0
73,35,non-interactive,48 - 57,Man,Graduate degree,"£20,000 - £29,999",Few times a day,Several times a week,8.75,No - Return Policy and Contact links were not clickable,none-above,3:15,2:20,No,Salad,30,33.33,1.0,1.0
74,36,non-interactive,38 - 47,Woman,Technical/community college,"£10,000 - £19,999",Few times a day,Several times a month,9.7,No. Couldn't view certain things,"noticed, helped, used","1:40, 1:45, 2:10, 2:25, 2:30, 3:30, 3:45, 4:30, 5:00, 6:35, 7:10","2:25, 6:50",Did not answer,Salad,30,29.17,2.0,11.0
75,39,non-interactive,38 - 47,Man,Graduate degree,"£10,000 - £19,999",Few times a day,Several times a week,14.6,"No, I couldn't hardly click anything. It also did not allow me to click on things which were applicable to the tasks. ",none-above,"1:20, 7:40",4:40,Did not answer,Salad,30,4.17,1.0,2.0
76,40,non-interactive,58+,Woman,High school diploma,"£10,000 - £19,999",Few times a day,Several times a week,10.62,No - some filters did't work when I would have expected they to,"noticed, helped, used, distracted","2:45, 6:35, 7:15, 7:35","2:45, 4:20",Did not answer,Salad,30,25.0,2.0,4.0
78,42,non-interactive,58+,Man,Technical/community college,"£10,000 - £19,999",Few times a week,Once a week,18.7,"No, but i did not expect to see description of all items.","helped, used","2:30, 5:00, 8:45, 13:00, 14:00",14:45,Did not answer,Salad,30,58.33,1.0,5.0
81,49,non-interactive,28 - 37,Man,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a week,6.45,yes,"noticed, helped","1:50, 3:35, 3:45, 3:50, 3:50, 4:00, 4:05, 4:10","1:50, 3:55",no,Salad,30,62.5,2.0,8.0
83,51,non-interactive,28 - 37,Woman,Undergraduate degree,"£75,000 - £100,000",For a significant part of the day,Several times a week,8.02,"No, I wanted to click return policy, and 'my orders' in task 3 first.
I also wanted to click the sort option in task 1.","noticed, helped, used","1:20, 1:45, 3:05, 4:55, 5:10, 5:30, 5:40","1:20, 3:05",Did not answer,Salad,30,50.0,2.0,7.0
85,53,non-interactive,38 - 47,Woman,Undergraduate degree,"£10,000 - £19,999",Few times a day,Once a week,14.2,Yes,helped,"2:45, 8:40","2:35, 6:00",Did not answer,Salad,30,75.0,2.0,2.0
86,54,non-interactive,28 - 37,Man,Graduate degree,No income,For a significant part of the day,Daily,6.08,"No, there were some links at the bottom of the page such as Contact an returns policy which were not clickable.","noticed, helped","0:55, 1:10, 1:55, 2:15","0:50, 1:10",no.,Salad,30,58.33,2.0,4.0
88,57,non-interactive,38 - 47,Man,Secondary education,"£30,000 - £39,999",For a significant part of the day,Several times a week,7.45,My main issue was with the copy/paste simulation in the Returns section.,noticed,"1:40, 2:30, 2:40, 4:50, 5:00","1:20, 2:10, 2:30, 2:40, 4:40",Did not answer,Salad,30,54.17,5.0,5.0
89,60,non-interactive,48 - 57,Man,Graduate degree,"£40,000 - £49,999",For a significant part of the day,Daily,4.4,Yes,"noticed, helped","1:05, 1:40, 2:00, 3:20","1:50, 3:05",Did not answer,Salad,30,70.83,2.0,4.0
90,61,non-interactive,28 - 37,Woman,Secondary education,"£10,000 - £19,999",For a significant part of the day,Never,7.58,Yes it did ,"noticed, helped, used","1:05, 1:25, 2:10, 3:50, 5:05, 5:15, 5:20, 5:30, 5:30, ","1:40, 3:05",Did not answer,Salad,30,62.5,2.0,10.0
91,62,non-interactive,38 - 47,Woman,High school diploma,"£30,000 - £39,999",Few times a day,Several times a week,9.98,"No, I would have expected to be able to process the return straight from my orders section. I also expected to be able to add to favourites without needing to choose the colour","noticed, helped","2:15, 2:50, 2:55, 4:00, 4:15, 6:05, 6:30","2:50, 6:20",Overall not the most intuitive experience,Salad,30,29.17,2.0,7.0
92,65,non-interactive,28 - 37,Man,Graduate degree,"£40,000 - £49,999",For a significant part of the day,Daily,8.38,Yes.,"noticed, helped","1:35, 1:40, 2:00, 2:10, 4:05, 4:10, 5:20, 5:40",,Did not answer,Salad,30,79.17,0.0,8.0
93,66,non-interactive,28 - 37,Woman,Graduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a week,21.35,"No, only the login link worked.",used,,,It really didn't work for me. I was using Chrome on a laptop.,Salad,30,12.5,0.0,0.0
94,67,non-interactive,28 - 37,Woman,Technical/community college,"£10,000 - £19,999",For a significant part of the day,Daily,7.53,yes it did allow me to click everywhere i wished,noticed,"2:05, 3:30, 3:40, 3:55, 4:55, 5:00, 5:35",3:20,nothing i wish to add,Salad,30,100.0,1.0,7.0
95,69,non-interactive,28 - 37,Man,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a week,7.2,I expected to be able to check out without needing to create and account,"noticed, helped","2:00, 2:05, 3:50, 4:05, 5:05",,Did not answer,Salad,30,58.33,0.0,5.0
97,72,non-interactive,48 - 57,Woman,Technical/community college,"£10,000 - £19,999",For a significant part of the day,Several times a week,12.75,"no, i found the first two tasks difficult to complete, but looking back I think it was maybe my fault for not exploring the pages better, maybe I should have logged in forst or something but that wasnt made clear.",none-above,6:45,6:40,Did not answer,Salad,30,45.83,1.0,1.0
99,77,non-interactive,38 - 47,Man,High school diploma,"£30,000 - £39,999",For a significant part of the day,Several times a week,8.43,No I should be able to click on everything for a true experience,"distracted, sped-up","5:35, 5:55, 6:20",6:10,Did not answer,Salad,12,33.33,1.0,3.0
